Yil,Soru_ID,Ana_Konu,Alt_Konu,Zorluk,Soru_Metni,Secenek_A,Secenek_B,Secenek_C,Secenek_D,Dogru_Cevap
2018,1,Paragrafta Anlam,Ana Düşünce,3,"Okuru olmayan bir ülkede dergi çıkartmak, suya yazı yazmak gibidir. Tutku olmasa ne kadar da imkânsız bir iş. Bu, kitap eleştirisi üzerine çıkan bir dergiyse hele... Malum, özellikle genç okurların yönelimi daha çok edebiyat ve şiir dergilerine olurken eleştiri dergileri maalesef rafların arkasında kalıyor.

Bu metinde altı çizili sözlerle anlatılmak istenenler aşağıdakilerin hangisinde sırasıyla verilmiştir?",A) büyük çaba gerektirmek - satış amacı gütmemek,B) kalıcı olmaya çalışmak - ilgi çekmemek,C) boş yere uğraşmak - yeterince tercih edilmemek,D) sıkıntılara göğüs germek - köklü bir geçmişe sahip olmak,C
2018,2,Dil Bilgisi,Anlatım Bozukluğu,3,"Eğer yere uzanmış, hareketsiz, sessiz bir geyik yavrusu görürseniz endişelenmeniz gereken bir durum yoktur çünkü mutlaka annesi yakınlarda olmalı.

Bu cümledeki anlatım bozukluğunu gidermek için aşağıdaki değişikliklerden hangisi yapılmalıdır?","A) ""yakınlarda olmalı"" sözü yerine ""yakınlardadır"" kelimesi getirilmeli.","B) ""endişelenmeniz"" kelimesi yerine ""endişe duymanız"" ifadesi getirilmeli.","C) ""sessiz"" kelimesi cümleden atılmalı.","D) ""uzanmış"" kelimesi yerine ""yatmış"" kelimesi getirilmeli.",A
2018,3,Paragrafta Anlam,Ana Düşünce,3,"Son yıllarda toplumumuzun görsel sanatlar sevgisinde bir kımıldanma görülüyor. Her sanat dalı yaşama açılan pencerelerden biridir. Pencereleri hepten kapanmış binada ömür geçirmeye tahammül edenler, ruh çölünde yaşıyor demektir. Çölden dışarı adım atanlar, yaşadıkları yerlerin duvarlarına resim asmaya, heykelle ilgilenmeye, fotoğraf çekmeye başladılar. Bu, övgüye değer!

Bu metinde geçen ""Pencereleri hepten kapanmış binada ömür geçirmek"" sözüyle anlatılmak istenen aşağıdakilerden hangisidir?",A) Çevresindekilerle iletişime kapalı olmak,B) Sanattan yoksun bir hayat sürdürmek,C) Hayata farklı açılardan bakamamak,D) Tek bir sanat dalına yoğunlaşmak,B
2018,4,Paragrafta Anlam,Koşul Anlamı,3,"(I) Japonya, uzay çöplerini temizlemek için ürettiği metalik örgü ağını Uluslararası Uzay İstasyonu'na ulaştırdı. (II) 700 metrelik bu devasa ağ, bir Japon balık ağı üreticisi tarafından tasarlandı. (III) Tıpkı bir balık ağı gibi uzaya salınıp gezegenimizin çevresini büyük uzay çöplerinden temizleyecek. (IV) Metal ağ ile yapılacak denemelerin başarılı olması durumunda aynı prensiple çalışan küçük robot araçlar üretilecek.

Bu metinde numaralanmış cümlelerin hangisinde koşul anlamı vardır?",A) I.,B) II.,C) III.,D) IV.,D
2018,5,Paragrafta Anlam,Ana Düşünce,3,"Teknolojik cihazları hayatımızın her sahasında görmek mümkün. Ancak teknolojiyi bilinçsiz kullanmaktan en fazla zararı yeni nesil görüyor. Çünkü doğdukları andan itibaren akıllı cihazlar onların ellerine ""elektronik emzik"" niyetiyle veriliyor. Bu susturucu emzikle başlayan tanışma ileride teknoloji bağımlılığına dönüşüyor. Bu bağımlılığa dikkat çekmek için ""Teknolojisiz Bir Gün"" adlı sosyal sorumluluk projesi başlatıldı. Projenin çıkış noktası şöyle açıklanıyor: Teknoloji, yemek gibi bir ihtiyaç lakin yemeğin fazlasının obeziteye yol açması gibi teknolojinin fazlası da ""teknoloji bağımlılığına yol açıyor. Ekran bağımlılığı erkeklerde mobil oyun, bayanlarda sosyal medyayı kontrol etme isteğiyle ortaya çıkıyor. Ortaöğretim çağındaki bir çocuk yılda 1000 saatini okulda geçirirken 1500 saatini TV ve bilgisayar başında geçiriyor. Gençler her gün zamanlarının 229 dakikasını cep telefonu kullanarak öldürüyor. Türkiye'de bir kişi günde ortalama 6 saat TV izlerken kitap okumaya yalnızca 1 dakika ayırıyor. Bütün bunlara çözüm olarak da haftada bir gün ""teknoloji diyeti"" tavsiye ediliyor. Kadın, erkek, yaşlı, genç farklı kişilere ""Teknolojik cihazlar olmadan, bir gününüzü nasıl geçirirdiniz?"" sorusuna en fazla verilen cevap ""Kitap okurum."" oluyor. Diğer cevaplarsa ""Çocuklarımla vakit geçiririm, oyun oynarım, yürüyüş yaparım, resim çizerim, yeni yerler keşfederim, kütüphaneye giderim..."" şeklinde sıralanıyor. Eğer siz de teknolojiyi haddinden fazla kullanıyorsanız teknoloji diyeti yaparak sevdiklerinize vakit ayırıp neler kaçırdığınızı fark edebilirsiniz.

Bu metnin dil ve anlatımıyla ilgili aşağıda verilenlerden hangisi yanlıştır?","A) Yazar, düşüncelerini sorular yoluyla anlatmıştır.",B) Karşılaştırmadan yararlanılmıştır.,C) Öznel ifadelere yer verilmiştir.,"D) Düşünce, sayısal verilerle kanıtlanmaya çalışılmıştır.",A
2018,6,Paragrafta Anlam,Ana Düşünce,3,"Teknolojik cihazları hayatımızın her sahasında görmek mümkün. Ancak teknolojiyi bilinçsiz kullanmaktan en fazla zararı yeni nesil görüyor. Çünkü doğdukları andan itibaren akıllı cihazlar onların ellerine ""elektronik emzik"" niyetiyle veriliyor. Bu susturucu emzikle başlayan tanışma ileride teknoloji bağımlılığına dönüşüyor. Bu bağımlılığa dikkat çekmek için ""Teknolojisiz Bir Gün"" adlı sosyal sorumluluk projesi başlatıldı. Projenin çıkış noktası şöyle açıklanıyor: Teknoloji, yemek gibi bir ihtiyaç lakin yemeğin fazlasının obeziteye yol açması gibi teknolojinin fazlası da ""teknoloji bağımlılığına yol açıyor. Ekran bağımlılığı erkeklerde mobil oyun, bayanlarda sosyal medyayı kontrol etme isteğiyle ortaya çıkıyor. Ortaöğretim çağındaki bir çocuk yılda 1000 saatini okulda geçirirken 1500 saatini TV ve bilgisayar başında geçiriyor. Gençler her gün zamanlarının 229 dakikasını cep telefonu kullanarak öldürüyor. Türkiye'de bir kişi günde ortalama 6 saat TV izlerken kitap okumaya yalnızca 1 dakika ayırıyor. Bütün bunlara çözüm olarak da haftada bir gün ""teknoloji diyeti"" tavsiye ediliyor. Kadın, erkek, yaşlı, genç farklı kişilere ""Teknolojik cihazlar olmadan, bir gününüzü nasıl geçirirdiniz?"" sorusuna en fazla verilen cevap ""Kitap okurum."" oluyor. Diğer cevaplarsa ""Çocuklarımla vakit geçiririm, oyun oynarım, yürüyüş yaparım, resim çizerim, yeni yerler keşfederim, kütüphaneye giderim..."" şeklinde sıralanıyor. Eğer siz de teknolojiyi haddinden fazla kullanıyorsanız teknoloji diyeti yaparak sevdiklerinize vakit ayırıp neler kaçırdığınızı fark edebilirsiniz.

Bu metinde asıl anlatılmak istenen aşağıdakilerden hangisidir?","A) İnsan, zamanını iyi değerlendirmelidir.",B) Teknoloji bağımlılığı projelerle önlenmelidir.,C) Bağımlılık yapan şeylerden uzak durulmalıdır.,D) Teknoloji ölçülü kullanılmalıdır.,D
2018,7,Paragrafta Anlam,Ana Düşünce,3,"Teknolojik cihazları hayatımızın her sahasında görmek mümkün. Ancak teknolojiyi bilinçsiz kullanmaktan en fazla zararı yeni nesil görüyor. Çünkü doğdukları andan itibaren akıllı cihazlar onların ellerine ""elektronik emzik"" niyetiyle veriliyor. Bu susturucu emzikle başlayan tanışma ileride teknoloji bağımlılığına dönüşüyor. Bu bağımlılığa dikkat çekmek için ""Teknolojisiz Bir Gün"" adlı sosyal sorumluluk projesi başlatıldı. Projenin çıkış noktası şöyle açıklanıyor: Teknoloji, yemek gibi bir ihtiyaç lakin yemeğin fazlasının obeziteye yol açması gibi teknolojinin fazlası da ""teknoloji bağımlılığına yol açıyor. Ekran bağımlılığı erkeklerde mobil oyun, bayanlarda sosyal medyayı kontrol etme isteğiyle ortaya çıkıyor. Ortaöğretim çağındaki bir çocuk yılda 1000 saatini okulda geçirirken 1500 saatini TV ve bilgisayar başında geçiriyor. Gençler her gün zamanlarının 229 dakikasını cep telefonu kullanarak öldürüyor. Türkiye'de bir kişi günde ortalama 6 saat TV izlerken kitap okumaya yalnızca 1 dakika ayırıyor. Bütün bunlara çözüm olarak da haftada bir gün ""teknoloji diyeti"" tavsiye ediliyor. Kadın, erkek, yaşlı, genç farklı kişilere ""Teknolojik cihazlar olmadan, bir gününüzü nasıl geçirirdiniz?"" sorusuna en fazla verilen cevap ""Kitap okurum."" oluyor. Diğer cevaplarsa ""Çocuklarımla vakit geçiririm, oyun oynarım, yürüyüş yaparım, resim çizerim, yeni yerler keşfederim, kütüphaneye giderim..."" şeklinde sıralanıyor. Eğer siz de teknolojiyi haddinden fazla kullanıyorsanız teknoloji diyeti yaparak sevdiklerinize vakit ayırıp neler kaçırdığınızı fark edebilirsiniz.

Metnin son cümlesinin ifade ettiği anlam aşağıdakilerden hangisidir?",A) Eleştiri,B) Öneri,C) Varsayım,D) Ön yargı,B
2018,8,Dil Bilgisi,Cümle Türleri,2,"Teknolojik cihazları hayatımızın her sahasında görmek mümkün. Ancak teknolojiyi bilinçsiz kullanmaktan en fazla zararı yeni nesil görüyor. Çünkü doğdukları andan itibaren akıllı cihazlar onların ellerine ""elektronik emzik"" niyetiyle veriliyor. Bu susturucu emzikle başlayan tanışma ileride teknoloji bağımlılığına dönüşüyor. Bu bağımlılığa dikkat çekmek için ""Teknolojisiz Bir Gün"" adlı sosyal sorumluluk projesi başlatıldı. Projenin çıkış noktası şöyle açıklanıyor: Teknoloji, yemek gibi bir ihtiyaç lakin yemeğin fazlasının obeziteye yol açması gibi teknolojinin fazlası da ""teknoloji bağımlılığına yol açıyor. Ekran bağımlılığı erkeklerde mobil oyun, bayanlarda sosyal medyayı kontrol etme isteğiyle ortaya çıkıyor. Ortaöğretim çağındaki bir çocuk yılda 1000 saatini okulda geçirirken 1500 saatini TV ve bilgisayar başında geçiriyor. Gençler her gün zamanlarının 229 dakikasını cep telefonu kullanarak öldürüyor. Türkiye'de bir kişi günde ortalama 6 saat TV izlerken kitap okumaya yalnızca 1 dakika ayırıyor. Bütün bunlara çözüm olarak da haftada bir gün ""teknoloji diyeti"" tavsiye ediliyor. Kadın, erkek, yaşlı, genç farklı kişilere ""Teknolojik cihazlar olmadan, bir gününüzü nasıl geçirirdiniz?"" sorusuna en fazla verilen cevap ""Kitap okurum."" oluyor. Diğer cevaplarsa ""Çocuklarımla vakit geçiririm, oyun oynarım, yürüyüş yaparım, resim çizerim, yeni yerler keşfederim, kütüphaneye giderim..."" şeklinde sıralanıyor. Eğer siz de teknolojiyi haddinden fazla kullanıyorsanız teknoloji diyeti yaparak sevdiklerinize vakit ayırıp neler kaçırdığınızı fark edebilirsiniz.

Bu metindeki altı çizili cümlenin bir özelliği değildir? (Altı çizili cümle: 'Bu susturucu emzikle başlayan tanışma ileride **teknoloji bağımlılığına dönüşüyor**.')",A) Eylem cümlesi,B) Olumlu cümle,C) İçinde fiilimsi bulunan cümle,D) Kurallı cümle,A
2018,9,Paragrafta Anlam,Ana Düşünce,3,"(I) İstanbul'un üstünde ne tür tarihî yapıların olduğu az çok bilinir ama altında ne var pek bilinmez. (II) Yerin altındaki yapılardan biri olan sarnıçlar yüzyıllarca kentin su ihtiyacının önemli bir kısmını karşılamış. (III) Yağmurlardan süzülen veya kentin kilometrelerce ötesinden su kanallarıyla getirilen sular buralarda depolanırmış. (IV) Sarayın, büyük kiliselerin, askerî kışlaların, soylulara ait konakların su ihtiyaçları buralardan karşılanırmış.

Bu metinde numaralanmış cümlelerin hangisinden sonra ""Böyle önemli yapıların su ihtiyacını karşılayan sarnıçların en meşhuru Yerebatan Sarnıcı'dır."" cümlesi getirilirse metindeki düşünce akışı bozulmaz?",A) I.,B) II.,C) III.,D) IV.,D
2018,10,Paragrafta Anlam,Ana Düşünce,3,"""Küçük Prens'in Güzel Hikâyesi"" adlı bu nefis kitap, Antonie de Saint Exupery'nin yazdığı Küçük Prens öyküsünün tam metninin yanı sıra yayımlanmayan bir bölümünü, Küçük Prens karakterinin orijinal çizimlerini ve Küçük Prens üzerine yazılmış makaleleri içeriyor.

Aşağıdakilerden hangisi bu cümlede sözü edilen eserle ilgili kesin olarak söylenir?",A) Kahramanın hayat hikâyesini anlattığı,B) İki bölümden oluştuğu,C) Küçük Prens'le ilgili farklı çalışmalara yer verdiği,D) Küçük Prens hakkında yapılan en kapsamlı çalışma olduğu,C
2018,11,Paragrafta Anlam,Ana Düşünce,3,"I. Mutluluğu engelleyen şeylerden biri, çok fazla mutluluk beklemektir.
II. Mutluluk öyle bir servettir ki bölüşüldükçe çoğalır.
III. Bilge ve iyi olmadıkça kimse mutlu olamaz.
IV. İnsan en azla yetindiği zaman mutludur.

Yukarıdaki numaralanmış cümlelerden hangileri anlamca birbirine en yakındır?",A) I ve III.,B) I ve IV.,C) II ve III.,D) II ve IV.,B
2018,12,Sözel Mantık,Metinler Arası İlişki Kurma,3,"19. yüzyılın ortasından itibaren büyük şehirlerde ulaşım sorun hâline gelmeye başlayınca ülkeler toplu taşımacılığa yönelmiştir. Bunun için bulunan çözümlerden biri de raylı taşımacılık yani metrodur. Dünyanın büyük şehirlerinde faaliyete geçen metro hatlarıyla ilgili bazı bilgiler şunlardır:
• İstanbul Tünel Metrosu, Budapeşte Metrosu'ndan önce hizmete girmiştir.
• Chicago (Şikago) Metrosu'ndan önce ve sonra açılan metro hatları vardır.
• İstanbul Tünel Metrosu açıldığında sadece bir metro hattı faaliyetteydi.
• Budapeşte Metrosu, Londra Metrosu'ndan sonra açılmıştır.

Bu bilgilere göre metro hatlarının hizmete girme tarihleri aşağıdakilerin hangisinde doğru verilmiştir?","A) 1863: Budapeşte, 1875: İstanbul Tünel, 1892: Londra, 1896: Chicago (Şikago)","B) 1863: İstanbul Tünel, 1875: Budapeşte, 1892: Chicago (Şikago), 1896: Londra","C) 1863: Londra, 1875: İstanbul Tünel, 1892: Chicago (Şikago), 1896: Budapeşte","D) 1863: Chicago (Şikago), 1875: Londra, 1892: İstanbul Tünel, 1896: Budapeşte",C
2018,13,Paragrafta Anlam,Ana Düşünce,3,"Yaşadığımız dünyaya karşı taşıdığımız sorumlulukları fark etmemiz için en ideal zamanlar ilk çocukluk yıllarımız. Yere çöp atmama, ağaçların dallarını kırmama, çiçekleri koparmama gibi birçok şey bu dönemde edindirilir. Bunda en büyük pay kitaplara ait. Eğitim Uzmanı Bilge Buhan Musa, geri dönüşüm üzerine çıkardığı dört yeni hikâye kitabıyla çocuklara çevre bilinci kazandırmayı hedefliyor. Bilge Buhan Musa, doğanın nasıl korunabileceğini kitaplarında verdiği yöntemlerle somutlaştırıp çocukların bunu davranışa kolayca dönüştürebileceklerini belirtiyor. Eğitimci yazarın yayımlanan hikâye serisi, çocukların kitaptaki kahramanlarla empati kurmalarını sağlıyor ve gezegenimize karşı sorumluluklarını yerine getirmelerine aracı oluyor. Bu hikâye serisi dört farklı kitaptan oluşuyor. ""Yaşlı Çınar Ağacı""nda kâğıdın, ""Meraklı Yeşil Şişe de camın, ""Beyaz Plastik Bardak""ta plastiğin geri dönüşümü anlatılıyor. ""Geri Kazanım Atölyesi""nde ise kullandığımız eşyalardan geri dönüşüme gitmeden ne şekilde faydalanabileceğimiz dile getiriliyor.

Bu metinden aşağıdaki yargıların hangisi çıkarılamaz?",A) Doğayı korumada geri dönüşüm önemlidir.,"B) Kitapların, çocukların kişilik gelişiminde etkisi vardır.",C) Olumlu davranışlar çocukken daha kolay kazandırılır.,D) İnsanlarla sağlıklı iletişimin yolu empati kurmaktır.,D
2018,14,Paragrafta Anlam,Ana Düşünce,2,"Yaşadığımız dünyaya karşı taşıdığımız sorumlulukları fark etmemiz için en ideal zamanlar ilk çocukluk yıllarımız. Yere çöp atmama, ağaçların dallarını kırmama, çiçekleri koparmama gibi birçok şey bu dönemde edindirilir. Bunda en büyük pay kitaplara ait. Eğitim Uzmanı Bilge Buhan Musa, geri dönüşüm üzerine çıkardığı dört yeni hikâye kitabıyla çocuklara çevre bilinci kazandırmayı hedefliyor. Bilge Buhan Musa, doğanın nasıl korunabileceğini kitaplarında verdiği yöntemlerle somutlaştırıp çocukların bunu davranışa kolayca dönüştürebileceklerini belirtiyor. Eğitimci yazarın yayımlanan hikâye serisi, çocukların kitaptaki kahramanlarla empati kurmalarını sağlıyor ve gezegenimize karşı sorumluluklarını yerine getirmelerine aracı oluyor. Bu hikâye serisi dört farklı kitaptan oluşuyor. ""Yaşlı Çınar Ağacı""nda kâğıdın, ""Meraklı Yeşil Şişe de camın, ""Beyaz Plastik Bardak""ta plastiğin geri dönüşümü anlatılıyor. ""Geri Kazanım Atölyesi""nde ise kullandığımız eşyalardan geri dönüşüme gitmeden ne şekilde faydalanabileceğimiz dile getiriliyor.

Bu metne göre Bilge Buhan Musa'nın, kitaplarını yazma amacı aşağıdakilerden hangisidir?",A) Çocuklara çevre bilinci aşılamak,B) Geri dönüşümün ekonomiye katkısı hakkında bilgi vermek,C) Ailelere çocuk eğitimi konusunda yol göstermek,D) Kitap okuma alışkanlığı kazandırmak,A
2018,15,Dil Bilgisi,Fiilimsiler,3,"Yaşadığımız dünyaya karşı taşıdığımız sorumlulukları fark etmemiz için en ideal zamanlar ilk çocukluk yıllarımız. Yere çöp atmama, ağaçların dallarını kırmama, çiçekleri koparmama gibi birçok şey bu dönemde edindirilir. Bunda en büyük pay kitaplara ait. Eğitim Uzmanı Bilge Buhan Musa, geri dönüşüm üzerine çıkardığı dört yeni hikâye kitabıyla çocuklara çevre bilinci kazandırmayı hedefliyor. Bilge Buhan Musa, doğanın nasıl korunabileceğini kitaplarında verdiği yöntemlerle somutlaştırıp çocukların bunu davranışa kolayca dönüştürebileceklerini belirtiyor. Eğitimci yazarın yayımlanan hikâye serisi, çocukların kitaptaki kahramanlarla empati kurmalarını sağlıyor ve gezegenimize karşı sorumluluklarını yerine getirmelerine aracı oluyor. Bu hikâye serisi dört farklı kitaptan oluşuyor. ""Yaşlı Çınar Ağacı""nda kâğıdın, ""Meraklı Yeşil Şişe de camın, ""Beyaz Plastik Bardak""ta plastiğin geri dönüşümü anlatılıyor. ""Geri Kazanım Atölyesi""nde ise kullandığımız eşyalardan geri dönüşüme gitmeden ne şekilde faydalanabileceğimiz dile getiriliyor.

Bu metindeki numaralanmış kelimelerden hangileri zarf-fiildir?",A) I ve II.,B) I ve III.,C) II ve IV.,D) III ve IV.,C
2018,16,Yazım Kuralları,Belli bir tarih bildiren ay ve gün adları,3,"1897 yılının Nisan ayı başlarında Ömer Şevki bey, oğlunu o günlerde subay çocukları için açılan Eyüp Sultan Askerî lisesinde özel bölüme yatılı olarak yerleştirir. Yeni usule göre öğretim yapılan bu okul da eğitim dili Fransızcaydı.

Bu metinde aşağıdakilerin hangisiyle ilgili bir yazım yanlışı yapılmamıştır?","A) Kişi adlarından önce ve sonra gelen unvanlar, saygı sözleri",B) Belli bir tarih bildiren ay ve gün adları,"C) Bulunma durum eki ""-da, -de""nin yazımı","D) Kurum, kuruluş ve kurul adları",B
2018,17,Yazım Kuralları,Noktalama İşaretleri,3,Aşağıdaki cümlelerin hangisinde noktalama işaretlerinin kullanımıyla ilgili bir yanlışlık yapılmıştır?,"A) Hey, Gebzeli Hasan! Bu çayların parasını kim ödeyecek?","B) Nükhet'in en büyük korkusu, samimi olduğu ve kendisini yanlarında huzurlu hissettiği insanlardan uzun süre ayrı kalmaktı.","C) Zeki (!) çocuk tüm parasını bir günde bitirdi, ayın geri kalanını harçlıksız geçirdi.","D) Hep beklenmedik zamanlarda gelir, planlarımı, çabalarımı boşa çıkarırdı.",D
2018,18,Paragrafta Anlam,Ana Düşünce,3,"Ben Ömer Halisdemir,
Gözlerimde göremezsiniz korkuyu.
Arkamdan söylesinler şu türküyü:
Gencecik yaşında düşmüştü şehit,
Cihan görmedi böyle bir yiğit.
Ben Ömer Halisdemir,
Bin canım daha olsa
Veririm yine vatan uğruna.

Bu dizelerde aşağıdaki duygulardan hangisine yer verilmemiştir?",A) Kahramanlık,B) Merhamet,C) Cesaret,D) Vatan sevgisi,B
2018,19,Paragrafta Anlam,Ana Düşünce,3,"1950'li yılların başında istasyon, bir mola yeri olmaktan ziyade hayatın aktığı yerdi bizim kasabada. Kasabanın gençleri istasyonda buluşur, kalabalıkta kendilerini unuttururdu. Filmlerdeki gibi, gençler ilk kez burada göz göze gelirdi. İlk ayrılık burada yaşanır, askerlik veya çalışmak için büyük şehre gidenlerin ardından gözyaşı ilk kez burada dökülürdü. Ayrılığın acısı kadar buluşmanın sevinci de istasyondu. Ben de tezkere alıp gelen ağabeyimi burada beklemiştim. İki gün boyunca istasyona her gelen trende gözlerim ağabeyimi aramıştı. Nihayet ağabeyim trenden indiğinde boynuna sarılmış, dakikalarca ağlamıştım.

Bu parça aşağıdaki metin türlerinin hangisinden alınmıştır?",A) Biyografi,B) Deneme,C) Anı,D) Gezi yazısı,C
